Range,Total Shelves,Total Capacity,Available Inches,Occupied Inches,Percent Empty,Percent Full,Average Shelf Length For Each Range,LC Call # Start,,LC Call # Stop,Collection Type,,,,,,,,,,,1,AG,4
36b,70.00,2488.75,659.50,1829.25,26.50%,73.50%,35.55,DF 543 .U76 1900a,-,DG 51 .S49 2012,Collection 2,,,,,,,,,,,,,
37a,75.00,2666.63,726.50,1940.13,27.24%,72.76%,35.56,DG 52 .A73 2001,-,DG 211 .H273,Collection 2,,,,,,,,,,,,,
37b,78.00,2773.13,627.00,2146.13,22.61%,77.39%,35.55,DG 211 H46,-,DG 401 .Ar25 v.148 1990,Collection 2,,,,,,,,,,,,,
38a,79.00,2808.63,470.00,2338.63,16.73%,83.27%,35.55,DG 401 .Ar25 v.149 1991,-,DG 571 .A2  F743 1990,Collection 2,,,,,,,,,,,,,
38b,77.00,2737.63,455.50,2282.13,16.64%,83.36%,35.55,DG 571 .A2 I73 1983 v.1,-,DG 797.83 .B37 2000,Collection 2,,,,,,,,,,,,,
39a,49.00,1742.13,430.50,1311.63,24.71%,75.29%,35.55,DG 797.83 B447,-,DG 975 .P618 .S68 2008,Collection 1,,,,,,,,,,,,,
39b,49.00,1742.13,448.50,1293.63,25.74%,74.26%,35.55,DG 975 .P62 C36 1983,-,DK 1 .A25,Collection 1,,,,,,,,,,,,,
40a,49.00,1742.13,384.00,1358.13,22.04%,77.96%,35.55,DK 1 .C132 v.35 1994,-,DK 32 T864,Collection 1,,,,,,,,,,,,,
40b,49.00,1742.13,552.00,1190.13,31.69%,68.31%,35.55,DK 32 .V54 1891 ch. 1-2,-,DK 40 .K613 1911 v.5,Collection 1,,,,,,,,,,,,,
41a,42.00,1493.25,505.00,988.25,33.82%,66.18%,35.55,DK 40 .K62 1992,-,DK 67.5 .G7 R676 2006,Collection 1,,,,,,,,,,,,,
41b,42.00,1493.25,491.00,1002.25,32.88%,67.12%,35.55,DK 67.5 .G7 S33 2016,-,DK 161 .C68 1974,Collection 1,,,,,,,,,,,,,
42a,84.00,2986.50,997.00,1989.50,33.38%,66.62%,35.55,DK 161 O16,-,DK 254 .L46 .S65 1991,Collection 1,,,,,,,,,,,,,
42b,85.00,3022.00,972.00,2050.00,32.16%,67.84%,35.55,DK 254 .L46 T85 1983,-,DK 265.19 .N556 2017 t.2,Collection 1,,,,,,,,,,,,,
43a,84.00,2986.50,989.00,1997.50,33.12%,66.88%,35.55,DK 265.19 .N56 2002,-,DK 268 .P55 J67 2016,Collection 1,,,,,,,,,,,,,
43b,84.00,2986.50,863.00,2123.50,28.90%,71.10%,35.55,DK 268 .P66 P65 1970,-,DK 402 .R6 v.49 1988,Collection 1,,,,,,,,,,,,,
44a,84.00,2986.50,845.00,2141.50,28.29%,71.71%,35.55,DK 402 .R6 v.50 1989,-,DK 510.762 .N47 v.5-6 2010,Collection 1,,,,,,,,,,,,,
44b,84.00,2986.50,844.00,2142.50,28.26%,71.74%,35.55,DK 510.762 .N47 v.1-2 2011,-,DK 771 Us7 Ar722 E3,Collection 1,,,,,,,,,,,,,
45a,84.00,2986.50,908.00,2078.50,30.40%,69.60%,35.55,DK 771 V42 K48,-,DK 4442 .W34 1991,Collection 1,,,,,,,,,,,,,
45b,85.00,3022.00,452.00,2570.00,14.96%,85.04%,35.55,DK 4442 .W35 2021 t.1,-,DP 41 .V53 2009,Collection 1,,,,,,,,,,,,,
46a,56.00,1991.00,601.00,1390.00,30.19%,69.81%,35.55,DP 41 W983,-,DP 99 .S82 v.31 2013,Collection 1,,,,,,,,,,,,,
46b,56.00,1991.00,620.00,1371.00,31.14%,68.86%,35.55,DP 99 .S89 v.1,-,DP 203 F385 t.29,Collection 1,,,,,,,,,,,,,
47a,63.00,2239.88,706.00,1533.88,31.52%,68.48%,35.55,DP 203 .F47 1867,-,DP 302 .A53 C54 2012,Collection 1,,,,,,,,,,,,,
47b,63.00,2239.88,731.00,1508.88,32.64%,67.36%,35.55,DP 302 .A615 C664 1993 v.1,-,DP 680 .S28,Collection 1,,,,,,,,,,,,,
48a,63.00,2239.88,640.50,1599.38,28.60%,71.40%,35.55,DP 680 .S348 2010,-,DR 49.24 .S73 2013,Collection 1,,,,,,,,,,,,,
48b,63.00,2239.88,730.00,1509.88,32.59%,67.41%,35.55,DR 49.26 .C87 2001,-,DR 432 .K43 2011,Collection 1,,,,,,,,,,,,,
49a,63.00,2239.88,684.00,1555.88,30.54%,69.46%,35.55,DR 432 K481e,-,DR 1510 .P76 1982,Collection 1,,,,,,,,,,,,,
49b,63.00,2239.88,616.00,1623.88,27.50%,72.50%,35.55,DR 1510 .Z99 G72 1982 KNJ. 1,-,DS 38 .K41 1971,Collection 1,,,,,,,,,,,,,
50a,63.00,2239.88,607.00,1632.88,27.10%,72.90%,35.55,DS 38 .K537 1997,-,DS 59 .S86 A66 2010,Collection 1,,,,,,,,,,,,,
50b,63.00,2239.88,617.00,1622.88,27.55%,72.45%,35.55,DS 59 .S94 S569 2012,-,DS 79.76 .D98 2014,Collection 1,,,,,,,,,,,,,
51a,56.00,1991.00,538.50,1452.50,27.05%,72.95%,35.55,DS 79.76 .E25 2008,-,DS 101 .J3525  v.7 no.16-26 1996 Dec.12-1997 May 1 Incomplete,Collection 1,,,,,,,,,,,,,
51b,55.00,1955.50,480.00,1475.50,24.55%,75.45%,35.55,DS 101 .J3525 v.8 no.1-13 1997 May 15 - Oct.,-,DS 110 .E458 M33 1995,Collection 1,,,,,,,,,,,,,
52a,61.00,2168.88,608.00,1560.88,28.03%,71.97%,35.56,DS 110 .E458 M44 2006,-,DS 118 .B644 2013,Collection 1,,,,,,,,,,,,,
52b,63.00,2239.88,677.00,1562.88,30.22%,69.78%,35.55,DS 118 B664 v.1,-,DS 125 .P298 2006,Collection 1,,,,,,,,,,,,,
53a,63.00,2239.88,546.00,1693.88,24.38%,75.62%,35.55,DS 125 .P32 2016,-,DS 135 .A93 K375 2004,Collection 1,,,,,,,,,,,,,
53b,63.00,2239.88,716.50,1523.38,31.99%,68.01%,35.55,DS 135 .A93 K38 2002,-,DS 135 .G4 H365 2001,Collection 1,,,,,,,,,,,,,
54a,63.00,2239.88,667.00,1572.88,29.78%,70.22%,35.55,DS 135 .G4 H37 1967,-,DS 135 .P8 M457 1992,Collection 1,,,,,,,,,,,,,
54b,63.00,2239.88,680.50,1559.38,30.38%,69.62%,35.55,DS 135 .P8 N373 2003,-,DS 146 .G4 R62 1991,Collection 1,,,,,,,,,,,,,
55a,61.00,2168.88,712.50,1456.38,32.85%,67.15%,35.56,DS 146 .G4 R64 1990,-,DS 234 .I175 1986 Index,Collection 1,,,,,,,,,,,,,
55b,63.00,2239.88,679.50,1560.38,30.34%,69.66%,35.55,DS 234 .I26 2015 v.1,-,DS 371.412 .K75 2011,Collection 1,,,,,,,,,,,,,
56a,28.00,995.50,283.00,712.50,28.43%,71.57%,35.55,DS 371.412 .L36 2005,-,DS 423 .D4,Collection 1,,,,,,,,,,,,,
56b,28.00,995.50,325.00,670.50,32.65%,67.35%,35.55,DS 423 .D86 1964,-,DS 452 .S795 2004,Collection 1,,,,,,,,,,,,,
57a,35.00,1244.38,302.00,942.38,24.27%,75.73%,35.55,DS 452 .W56 1990 v.1,-,DS 481 .G3 K9 1982,Collection 1,,,,,,,,,,,,,
57b,35.00,1244.38,377.00,867.38,30.30%,69.70%,35.55,DS 481 .G3 K98 1969,-,DS 498.8 L421,Collection 1,,,,,,,,,,,,,
58a,35.00,1244.38,419.50,824.88,33.71%,66.29%,35.55,DS 501 .C27 no.1 1985,-,DS 554.7 .F67 1980,Collection 1,,,,,,,,,,,,,
58b,35.00,1244.38,412.00,832.38,33.11%,66.89%,35.55,DS 554.7 .K54 1985,-,DS 558.6 .A8 F76 1987,Collection 1,,,,,,,,,,,,,
59a,35.00,1244.38,405.00,839.38,32.55%,67.45%,35.55,DS 558.6 .A8 M87 1994,-,DS 646.36 .M23 1956,Collection 1,,,,,,,,,,,,,
59b,35.00,1244.38,422.50,821.88,33.95%,66.05%,35.55,DS 646.36 .M3 1958,-,DS 712 .H7648 1989,Collection 1,,,,,,,,,,,,,
60a,77.00,2737.63,793.00,1944.63,28.97%,71.03%,35.55,DS 712 .J43 1986,-,DS 741.3 .S67813 1993,Collection 1,,,,,,,,,,,,,
60b,77.00,2737.63,820.00,1917.63,29.95%,70.05%,35.55,DS 741.3 .S68 1972 v.1,-,DS 754 .H69 1996 v.2,Collection 1,,,,,,,,,,,,,
61a,42.00,1493.25,480.00,1013.25,32.14%,67.86%,35.55,DS 754 .H74 2000,-,DS 776 .S65 2011,Collection 1,,,,,,,,,,,,,
61b,42.00,1493.25,443.00,1050.25,29.67%,70.33%,35.55,DS 776 .S666 2016,-,DS 778 .L3555 A25 2011 v.4,Collection 1,,,,,,,,,,,,,
62a,49.00,1742.13,558.00,1184.13,32.03%,67.97%,35.55,DS 778 .L358 A2 2007 v.1,-,DS 793 .T8 K68 1980 v.9,Collection 1,,,,,,,,,,,,,
62b,49.00,1742.13,513.00,1229.13,29.45%,70.55%,35.55,DS 793 .T8 S82 1969,-,DS 822.25 .S48 1978 v.3,Collection 1,,,,,,,,,,,,,
63a,49.00,1742.13,550.00,1192.13,31.57%,68.43%,35.55,DS 822.25 .S55 2000,-,DS 894.99 .O372 U39 2012,Collection 1,,,,,,,,,,,,,
63b,49.00,1742.13,525.00,1217.13,30.14%,69.86%,35.55,DS 894.99 .O374 I98 2012,-,DS 1115.5 .F495 v.2,Collection 1,,,,,,,,,,,,,
